Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 H 
4 cr 
CRN 30582","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Frances Bernstein,"01:15 PM - 02:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 101
 BC 101 - Final Exam",13,14,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 K 
4 cr 
CRN 30584","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Clifford Evans,"01:15 PM - 02:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","LC 30
 LC 30 - Final Exam",15,12,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 G 
4 cr 
CRN 30040","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"11:50 AM - 01:05 PM MW
 12:30 PM - 03:30 PM F - Final Exam","HSC S244
 HSC S244 - Final Exam",65,62,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 T 
4 cr 
CRN 30043","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,"02:40 PM - 03:55 PM WF
 04:00 PM - 07:00 PM W - Final Exam","BC 101
 BC 101 - Final Exam",60,31,29,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 205 S 
4 cr 
CRN 30052","Native North American Cultures
CLA-Breadth/Social Science",Marc Boglioli,"07:00 PM - 09:30 PM R
 07:30 PM - 10:30 PM R - Final Exam","BC 120
 BC 120 - Final Exam",40,32,8,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: ESS 283 - S 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 206 E 
2 cr 
CRN 30057","Topics in Cultural Anthropology: US Food Cultures
CLA-Breadth/Social Science",Mary Kirby-Calder,"10:25 AM - 11:40 AM MW
 08:30 AM - 11:30 AM W - Final Exam","BC 217
 BC 217 - Final Exam",30,30,0,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: ESS 281 - E; HIST 201 - E 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 206 E 
4 cr 
CRN 30057","Topics in Cultural Anthropology: US Food Cultures
CLA-Breadth/Social Science",Mary Kirby-Calder,"10:25 AM - 11:40 AM MW
 08:30 AM - 11:30 AM W - Final Exam","BC 217
 BC 217 - Final Exam",30,30,0,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: ESS 281 - E; HIST 201 - E 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 207 J 
4 cr 
CRN 30677","Regional Ethnography: Societies of Latin America and the Caribbean
CLA-Breadth/Social Science
CLA-Diversity International",Maria Masucci,"01:15 PM - 02:30 PM MW
 12:30 PM - 03:30 PM M - Final Exam","BC 215
 - Final Exam",33,29,4,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: LAST 101 - J 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 230 G 
4 cr 
CRN 30061","Ancient Societies
CLA-Breadth/Interdisciplinary
CLA-Breadth/Social Science",Maria Masucci,"11:50 AM - 01:05 PM WF
 12:30 PM - 03:30 PM F - Final Exam","BC 201
 BC 201 - Final Exam",30,19,11,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
