Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 F 
4 cr 
CRN 10739","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",William Rogers,10:25 AM - 11:40 AM TR,SEM 210,25,13,12,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 J 
4 cr 
CRN 10735","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",James Speese,"01:15 PM - 02:30 PM MW
 04:00 PM - 07:00 PM M - Final Exam","BC 216
 BC 216 - Final Exam",20,14,6,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 K 
4 cr 
CRN 10624","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Neil Levi,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM T - Final Exam","BC 18
 BC 18 - Final Exam",18,18,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 Z 
4 cr 
CRN 10250","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"02:40 PM - 03:55 PM TR
 07:30 PM - 10:30 PM T - Final Exam","HSC S244
 HSC HSC -S244 - Final Exam",60,43,17,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 T 
4 cr 
CRN 10251","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,"02:40 PM - 03:55 PM WF
 07:30 PM - 10:30 PM M - Final Exam","BC 101
 BC 101 - Final Exam",40,37,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 105 J 
4 cr 
CRN 10888",Special Topics in Anthropology: History of Human Technology: Archaeology and Experimentation,Mary Klabacha,"01:15 PM - 02:30 PM MW
 04:00 PM - 07:00 PM M - Final Exam","HSC S142
 HSC HSC -S142 - Final Exam",22,4,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 201 T 
4 cr 
CRN 10252",History of Anthropological Theory,Allan Dawson,"02:40 PM - 03:55 PM MW
 07:30 PM - 10:30 PM M - Final Exam","BC 215
 BC 215 - Final Exam",25,9,16,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 202 S 
4 cr 
CRN 10253","Ecological Anthropology
CLA-Breadth/Interdisciplinary
CLA-Diversity International",Marc Boglioli,"07:00 PM - 09:30 PM R
 04:00 PM - 07:00 PM F - Final Exam","BC 101
 BC 101 - Final Exam",30,22,8,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 206 K 
2 cr 
CRN 10254","Topics in Culltural Anthropologyl: Anthropology of Urbanism
CLA-Breadth/Social Science",Mary Klabacha,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM T - Final Exam","BC 101
 BC 101 - Final Exam",30,5,25,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 206 K 
4 cr 
CRN 10254","Topics in Culltural Anthropologyl: Anthropology of Urbanism
CLA-Breadth/Social Science",Mary Klabacha,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM T - Final Exam","BC 101
 BC 101 - Final Exam",30,5,25,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 207 F 
4 cr 
CRN 10257","Regional Ethnography:Constructing America: Race, Gender, and Inequality
CLA-Breadth/Social Science
CLA-Diversity International",Matthew Canfield,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM T - Final Exam","SEM 116
 SEM 116 - Final Exam",16,10,6,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X 
1 cr 
CRN 10854",Ind. Study: Anthropology - Archaeology/Field School: Medieval Funerary Excavation in Transylvania,Linda Van Blerkom,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X1 
1 cr 
CRN 10792",Independent Study in Anthropology,Maria Masucci,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X2 
1 cr 
CRN 10938",Independent Study in Anthropology,Claire Sherman,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X3 
1 cr 
CRN 10991",Ind. Study: Anthropology - Land Use Research in Ecuador,Maria Masucci,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 301 H 
4 cr 
CRN 10260","Medical Anthropology
CLA-Breadth/Social Science
CLA-Writing Intensive",Linda Van Blerkom,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM R - Final Exam","BC 120
 BC 120 - Final Exam",25,22,3,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 302 G 
4 cr 
CRN 10262","Anthropology of Religion
CLA-Breadth/Social Science",Allan Dawson,"11:50 AM - 01:05 PM MW
 12:30 PM - 03:30 PM W - Final Exam","LC 30
 LC 30 - Final Exam",30,6,24,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 304 Z 
4 cr 
CRN 10267","Topics in Cultural Anthropology: Anthropology of Food and Agriculture
CLA-Breadth/Social Science
CLA-Diversity US",Matthew Canfield,"02:40 PM - 03:55 PM TR
 07:30 PM - 10:30 PM T - Final Exam","BC 117
 BC 117 - Final Exam",25,8,17,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312 R 
4 cr 
CRN 10263","Human Osteology
CLA-Writing in the Major",Bradley Adams,"07:00 PM - 09:30 PM W
 04:00 PM - 07:00 PM F - Final Exam","HSC S106
 HSC HSC -S106 - Final Exam",15,10,5,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: ANTH 312L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312L R1 
0 cr 
CRN 10538",Human Osteology Laboratory,Bradley Adams,"01:15 PM - 04:15 PM R
 07:30 PM - 10:30 PM R - Final Exam","HSC S106
 HSC HSC -S106 - Final Exam",15,10,5,0,"Pre-reqs: ANTH 103 
Co-Reqs: ANTH 312 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 330 J 
4 cr 
CRN 10265",Special Topics in Archaeological Method and Theory: Lithic Technology,Mary Klabacha,"01:15 PM - 04:15 PM F
 12:30 PM - 03:30 PM F - Final Exam","HSC S305
 - Final Exam",15,10,5,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 410 X 
4 cr 
CRN 10875","Specialized Honors in Anthropology I
CLA-Baldwin Honors
CLA-Capstone
CLA-Writing Intensive",Marc Boglioli,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 410 X1 
4 cr 
CRN 10879","Specialized Honors I: The Bioarchaeology of Plagues
CLA-Baldwin Honors
CLA-Capstone
CLA-Writing Intensive",Mary Klabacha,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARBC 101 E 
4 cr 
CRN 10733",Elementary Modern Standard Arabic,Huda Shanawani,"10:25 AM - 11:30 AM MWF
 12:30 PM - 03:30 PM M - Final Exam","SEM 116
 SEM 116 - Final Exam",16,4,12,0,"Pre-reqs: 
Co-Reqs: ARBC 103 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 103 D 
2 cr 
CRN 10734",Arabic Conversation,Housam Kotob,"09:10 AM - 10:15 AM TR
 08:30 AM - 11:30 AM R - Final Exam","ARTS 105
 ARTS 105 - Final Exam",20,4,16,0,"Pre-reqs: 
Co-Reqs: ARBC 101 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 201 C 
4 cr 
CRN 10520","Intermediate Modern Standard Arabic I
CLA-Foreign Language",Huda Shanawani,"09:10 AM - 10:15 AM MWF
 08:30 AM - 11:30 AM W - Final Exam","ARTS 105
 ARTS 105 - Final Exam",18,11,7,0,"Pre-reqs: (ARBC 102 OR ARBC 2X OR ARBC 102H ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 106 D 
4 cr 
CRN 10590","Drawing I
CLA-Breadth/Arts",Michael Peglau,09:40 AM - 11:40 AM TR,ARTS 206,18,18,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 E 
4 cr 
CRN 10589","Drawing I
CLA-Breadth/Arts",Jason Karolak,"10:25 AM - 12:25 PM MW
 12:30 PM - 03:30 PM M - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,16,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 LN 
4 cr 
CRN 10592","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,"04:50 PM - 06:50 PM MW
 07:30 PM - 10:30 PM W - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,16,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - LN 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 T 
4 cr 
CRN 10591","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,"02:40 PM - 04:40 PM MW
 07:30 PM - 10:30 PM M - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - T 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 120 T 
4 cr 
CRN 10593","Digital Imaging
CLA-Breadth/Arts",Jessica Langley,02:40 PM - 04:40 PM MW,ARTS 102,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 D 
4 cr 
CRN 10594","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,"09:40 AM - 11:40 AM TR
 08:30 AM - 11:30 AM R - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,14,0,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 M 
4 cr 
CRN 10595","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,"04:30 PM - 06:30 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
