Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 H 
4 cr 
CRN 30585","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Kimberly Rhodes,"12:15 PM - 01:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 204
 BC 204 - Final Exam",23,21,2,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 T 
4 cr 
CRN 30729","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Andrew Elliott,"03:10 PM - 04:25 PM WF
 04:00 PM - 07:00 PM F - Final Exam","BC 101
 BC 101 - Final Exam",20,19,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 F 
4 cr 
CRN 30102","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"10:50 AM - 12:05 PM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 106
 ARTS 106 - Final Exam",35,23,12,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 103 K 
4 cr 
CRN 30103","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"01:45 PM - 03:00 PM TR
 04:00 PM - 07:00 PM R - Final Exam","BC 201
 BC 201 - Final Exam",35,35,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 J 
4 cr 
CRN 30104","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Allan Dawson,"01:45 PM - 03:00 PM MW
 04:00 PM - 07:00 PM M - Final Exam","LC 28
 LC 28 - Final Exam",50,32,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 203 S 
4 cr 
CRN 30105","Cultures, Economies, and Globalization
CLA-Breadth/Social Science",Marc Boglioli,"07:15 PM - 09:45 PM R
 04:00 PM - 07:00 PM S - Final Exam","BC 201
 BC 201 - Final Exam",30,5,25,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 230 H 
4 cr 
CRN 30106","Ancient Societies
CLA-Breadth/Interdisciplinary
CLA-Breadth/Social Science",Maria Masucci,"12:15 PM - 01:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 201
 BC 201 - Final Exam",30,29,1,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 231 G 
4 cr 
CRN 30107","Native Arts and Archaeology of Latin America
CLA-Baldwin Honors
CLA-Writing Intensive",Maria Masucci,"12:15 PM - 01:30 PM MW
 12:30 PM - 03:30 PM M - Final Exam","HSC S3A
 HSC HSC -S3A - Final Exam",25,25,0,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) OR (ANTH 104 OR ANTH 4X ) 
Co-Reqs: 
Cross Listed: ARTH 231 - G 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X 
1 cr 
CRN 30001",Independent Study in Anthropology,,,,0,0,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X1 
1 cr 
CRN 30836",Medical Anthropology,Linda Van Blerkom,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X2 
4 cr 
CRN 30840",Advanced Methods in Archeology,Maria Masucci,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X3 
1 cr 
CRN 30845",Advanced Methods in Archaeology,Maria Masucci,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X4 
1 cr 
CRN 30961",Independent Study in Anthropology,Daniel LaPenta,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X5 
1 cr 
CRN 30965",Independent Study in Anthropology,Linda Van Blerkom,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X6 
1 cr 
CRN 31027",Independent Study in Anthropology,Maria Masucci,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 303 T 
4 cr 
CRN 30108","Gender and Culture
CLA-Breadth/Social Science",Marc Boglioli,"03:10 PM - 04:25 PM WF
 04:00 PM - 07:00 PM F - Final Exam","BC 120
 BC 120 - Final Exam",30,12,18,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: WGST 331 - T 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 310 E 
4 cr 
CRN 30109","Ethnographic Research Methods
CLA-Writing in the Major",Allan Dawson,"10:50 AM - 12:05 PM MW
 12:30 PM - 03:30 PM F - Final Exam","SEM 212
 SEM 212 - Final Exam",20,11,9,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 320 M 
4 cr 
CRN 30750","Selected Topics in Biological Anthropology
CLA-Writing Intensive",Mary Klabacha,"04:30 PM - 07:00 PM T
 07:30 PM - 10:30 PM M - Final Exam","HSC S244
 HSC HSC -S244 - Final Exam",30,12,18,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 320 P 
4 cr 
CRN 30113","Human Disease Evolution
CLA-Writing Intensive",Linda Van Blerkom,07:15 PM - 09:45 PM M,BC 103,20,16,4,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 330 J 
4 cr 
CRN 30111",Advanced Methods in Archaeology,Maria Masucci,"01:45 PM - 04:15 PM M
 08:30 AM - 11:30 AM W - Final Exam","HSC S105
 HSC HSC -S105 - Final Exam",15,13,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 375 C 
4 cr 
CRN 30731","Museums and Society
CLA-Breadth/Interdisciplinary
CLA-Off Campus Experience",Marguerite Keane,09:25 AM - 10:40 AM WF,ARTS 105,15,16,-1,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARTH 375 - C 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 375L X 
0 cr 
CRN 30732",Museums and Society Lab,Marguerite Keane,"09:00 AM - 09:15 AM F
 10:50 AM - 05:00 PM F",,15,16,-1,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARTH 375L - C1 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 400 N 
4 cr 
CRN 30112","Senior Seminar in Anthropology
CLA-Capstone",Allan Dawson,"04:30 PM - 07:00 PM W
 07:30 PM - 10:30 PM T - Final Exam","BC 120
 BC 120 - Final Exam",22,22,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
