Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 L 
4 cr 
CRN 10920","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Muriel Placet-Kouassi,"04:30 PM - 05:45 PM MW
 07:30 PM - 10:30 PM M - Final Exam","BC 117
 BC 117 - Final Exam",18,15,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 T 
4 cr 
CRN 10921","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",John Muccigrosso,02:40 PM - 03:55 PM WF,TIL 101,18,13,5,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 Z 
4 cr 
CRN 10682","Popular Culture
CLA-Breadth/Humanities
CLA-Diversity US",Frances Bernstein,02:40 PM - 03:55 PM TR,HSC S139,18,11,7,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 G 
4 cr 
CRN 10013","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"11:50 AM - 01:05 PM MW
 12:30 PM - 03:30 PM W - Final Exam","HSC S244
 HSC S244 - Final Exam",60,58,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 K 
4 cr 
CRN 10002","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Allan Dawson,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM T - Final Exam","LC 28
 LC 28 - Final Exam",55,57,-2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 201 F 
4 cr 
CRN 10003",History of Anthropological Theory,Allan Dawson,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM T - Final Exam","HSC S244
 HSC S244 - Final Exam",30,16,14,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 202 T 
4 cr 
CRN 10004","Ecological Anthropology
CLA-Breadth/Interdisciplinary
CLA-Diversity International",Marc Boglioli,"02:40 PM - 03:55 PM WF
 07:30 PM - 10:30 PM W - Final Exam","BC 201
 BC 201 - Final Exam",30,20,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 204H E 
4 cr 
CRN 10672","HON - Society and Social Chang
CLA-Baldwin Honors
CLA-Breadth/Social Science
CLA-Diversity International
CLA-Writing Intensive",Allan Dawson,"10:25 AM - 11:40 AM WF
 12:30 PM - 03:30 PM M - Final Exam","BC 204
 BC 204 - Final Exam",30,18,12,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 231 J 
4 cr 
CRN 10006","Native Arts and Archaeology of Latin America
CLA-Diversity International
CLA-Writing Intensive",Maria Masucci,"01:15 PM - 02:30 PM MW
 04:00 PM - 07:00 PM M - Final Exam","BC 102
 BC 218 - Final Exam",30,11,19,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) OR (ANTH 104 OR ANTH 4X ) 
Co-Reqs: 
Cross Listed: ARTH 231 - J 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
