Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 H 
4 cr 
CRN 10684","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Madhuparna Sanyal,"12:15 PM - 01:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 202
 BC 202 - Final Exam",18,8,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 T 
4 cr 
CRN 10686","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Edmond Chang,03:00 PM - 04:15 PM MW,BC 117,20,9,11,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 ZX 
4 cr 
CRN 10685","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Lillie Edwards,"03:00 PM - 04:15 PM TR
 04:00 PM - 07:00 PM T - Final Exam","SEM 109
 SEM 109 - Final Exam",20,14,6,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 C 
4 cr 
CRN 10009","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Jill Rhodes,"09:25 AM - 10:40 AM MF
 08:30 AM - 11:30 AM W - Final Exam","HSC S308
 HSC HSC -S308 - Final Exam",30,22,8,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 103 E 
4 cr 
CRN 10010","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Jill Rhodes,"10:50 AM - 12:05 PM MF
 12:30 PM - 03:30 PM F - Final Exam","HSC S308
 HSC HSC -S308 - Final Exam",30,31,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 K 
4 cr 
CRN 10004","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Allan Dawson,"01:40 PM - 02:55 PM TR
 04:00 PM - 07:00 PM R - Final Exam","LC 30
 LC 30 - Final Exam",40,26,14,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 R 
4 cr 
CRN 10002","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,"07:15 PM - 09:45 PM W
 04:00 PM - 07:00 PM W - Final Exam","BC 201
 BC 117 - Final Exam",30,15,15,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 201 F 
4 cr 
CRN 10005",History of Anthropological Theory,Allan Dawson,"10:50 AM - 12:05 PM TR
 08:30 AM - 11:30 AM T - Final Exam","BC 215
 BC 215 - Final Exam",25,17,8,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 202 Q 
4 cr 
CRN 10003","Ecological Anthropology
CLA-Breadth/Interdisciplinary
CLA-Diversity International",Marc Boglioli,"07:15 PM - 09:45 PM T
 12:30 PM - 03:30 PM S - Final Exam","BC 101
 BC 101 - Final Exam",30,22,8,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 204 B 
4 cr 
CRN 10006","Society and Social Change in Sub-Saharan Africa
CLA-Breadth/Social Science
CLA-Diversity International
CLA-Writing Intensive",Allan Dawson,"08:00 AM - 09:15 AM TR
 08:30 AM - 11:30 AM R - Final Exam","BC 101
 BC 101 - Final Exam",30,12,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 208 R 
4 cr 
CRN 10820","Religions of Africa
CLA-Breadth/Interdisciplinary
CLA-Diversity International
CLA-Writing Intensive",Ebenezer Addo,"07:15 PM - 09:45 PM W
 04:00 PM - 07:00 PM W - Final Exam","BC 103
 BC 103 - Final Exam",20,25,-5,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: PAST 208 - R; REL 208 - R 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 213 K 
4 cr 
CRN 10011",Bioarchaeology,Jill Rhodes,01:40 PM - 02:55 PM TR,HSC S139,20,19,1,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X 
1 cr 
CRN 10920",Independent Study in Anthropology,,,,0,0,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X1 
1 cr 
CRN 10967",Independent Study in Anthropology,Maria Masucci,-,,2,1,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X2 
1 cr 
CRN 10969",Independent Study in Anthropology,Jill Rhodes,-,,2,2,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X3 
1 cr 
CRN 11034",New England Native American Cultures,Marc Boglioli,-,,5,1,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X4 
1 cr 
CRN 11125","Bioarchaeology of Conflict: Cranial Trauma of Lower Majes Valley, Per�",Maria Masucci,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X5 
1 cr 
CRN 11174",Independent Study in Anthropology,Linda Van Blerkom,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 301 H 
4 cr 
CRN 10014","Medical Anthropology
CLA-Breadth/Social Science
CLA-Writing Intensive",Linda Van Blerkom,"12:15 PM - 01:30 PM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 120
 BC 120 - Final Exam",25,20,5,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 311 E 
4 cr 
CRN 10007","Archaeological Method and Theory
CLA-Quantitative
CLA-Writing in the Major",Maria Masucci,"10:50 AM - 12:05 PM F
 12:30 PM - 03:30 PM F - Final Exam","BC 118
 BC 118 - Final Exam",15,10,5,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) AND (ANTH 230 OR ANTH 12X ) 
Co-Reqs: ANTH 311L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 311L E1 
0 cr 
CRN 10008",Archeological Method and Theory Laboratory,Maria Masucci,01:45 PM - 04:15 PM F,BC 118,15,10,5,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: ANTH 311 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312 E 
4 cr 
CRN 10012","Human Osteology
CLA-Writing in the Major",Jill Rhodes,10:50 AM - 12:05 PM W,BC 118,12,8,4,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: ANTH 312L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312L E1 
0 cr 
CRN 10013",Human Osteology Laboratory,Jill Rhodes,"01:15 PM - 04:15 PM W
 04:00 PM - 07:00 PM M - Final Exam","HSC S106
 HSC HSC -S106 - Final Exam",12,8,4,0,"Pre-reqs: ANTH 103 
Co-Reqs: ANTH 312 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 410 X 
4 cr 
CRN 11024","Specialized Honors in Anthropology I
CLA-Capstone
CLA-Writing Intensive",Marc Boglioli,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARBC 101 J 
4 cr 
CRN 10015",Elementary Modern Standard Arabic,Mona Zaki,"01:45 PM - 02:55 PM MWF
 08:30 AM - 11:30 AM M - Final Exam","BC 20
 BC 20 - Final Exam",15,14,1,0,"Pre-reqs: 
Co-Reqs: ARBC 103 
Cross Listed: ARBC 101H - J 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 101H J 
4 cr 
CRN 10362",Elementary Modern Standard Arabic I,Mona Zaki,"01:45 PM - 02:55 PM MWF
 08:30 AM - 11:30 AM M - Final Exam","BC 20
 BC 20 - Final Exam",15,14,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARBC 101 - J 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 103 F 
2 cr 
CRN 10016",Arabic Conversation,Mona Zaki,"10:50 AM - 12:05 PM TR
 08:30 AM - 11:30 AM T - Final Exam","BC 117
 BC 117 - Final Exam",15,12,3,0,"Pre-reqs: 
Co-Reqs: ARBC 101 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 201 T 
4 cr 
CRN 10017","Intermediate Modern Standard Arabic I
CLA-Foreign Language",Mona Zaki,"03:00 PM - 04:05 PM MWF
 04:00 PM - 07:00 PM F - Final Exam","BC 203
 BC 203 - Final Exam",12,12,0,0,"Pre-reqs: (ARBC 102 OR ARBC 2X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 300 X 
2 cr 
CRN 10921","Ind. Study: Arabic
CLA-Foreign Language",,,,0,0,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 300 X1 
2 cr 
CRN 11202","Ind. Study: Arabic
CLA-Foreign Language",Mona Zaki,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 300 X2 
4 cr 
CRN 11220","Ind. Study: Arabic
CLA-Foreign Language",Mona Zaki,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 301 D 
4 cr 
CRN 10018","Advanced Arabic
CLA-Foreign Language",Mona Zaki,"09:25 AM - 10:40 AM TR
 12:30 PM - 03:30 PM R - Final Exam","BC 118
 BC 118 - Final Exam",10,4,6,0,"Pre-reqs: ARBC 202 OR ARBC 50X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 104 LN 
4 cr 
CRN 10019","Light, Color & Design
CLA-Breadth/Arts",Jason Karolak,04:30 PM - 06:30 PM MW,ARTS 201,18,16,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 104 LN 
4 cr 
CRN 10019","Two-Dimensional Design
CLA-Breadth/Arts",Jason Karolak,04:30 PM - 06:30 PM MW,ARTS 201,18,16,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 105 HK 
4 cr 
CRN 10154","Sculpture I
CLA-Breadth/Arts",Raymond Stein,12:15 PM - 02:15 PM TR,ARTS 8,16,11,5,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 205 - HK; ART 305 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 DF 
4 cr 
CRN 10668","Drawing I
CLA-Breadth/Arts",Claire Sherman,09:25 AM - 11:25 AM TR,ARTS 206,16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 HK 
4 cr 
CRN 10669","Drawing I
CLA-Breadth/Arts",Claire Sherman,12:15 PM - 02:15 PM TR,ARTS 206,16,13,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 J 
4 cr 
CRN 10020","Drawing I
CLA-Breadth/Arts",Jason Karolak,01:45 PM - 03:45 PM MW,ARTS 206,16,9,7,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 GJ 
4 cr 
CRN 10026","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,16,19,-3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - GJ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 LN 
4 cr 
CRN 10027","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,04:00 PM - 06:00 PM MW,ARTS 206,16,14,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - LN 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 120 J 
4 cr 
CRN 10021","Digital Imaging
CLA-Breadth/Arts",Robin Koss,01:45 PM - 03:45 PM MW,ARTS 102,14,15,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 CE 
4 cr 
CRN 10153","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,09:25 AM - 11:25 AM WF,ARTS 102,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 DF 
4 cr 
CRN 10152","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,09:25 AM - 11:25 AM TR,ARTS 102,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 140 HK 
4 cr 
CRN 10023","Printmaking 1
CLA-Breadth/Arts",Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 340 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 F 
4 cr 
CRN 10146","Painting I
CLA-Breadth/Arts",Michael Peglau,11:10 AM - 01:10 PM TR,ARTS 202,12,12,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 HK 
4 cr 
CRN 10147","Painting I
CLA-Breadth/Arts",Michael Peglau,01:15 PM - 03:15 PM TR,ARTS 202,12,10,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 MO 
4 cr 
CRN 10148","Painting I
CLA-Breadth/Arts",Michael Peglau,03:40 PM - 05:40 PM TR,ARTS 202,12,12,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 205 HK 
4 cr 
CRN 10155","Sculpture II
CLA-Breadth/Arts",Raymond Stein,12:15 PM - 02:15 PM TR,ARTS 8,16,11,5,0,"Pre-reqs: ART 105 
Co-Reqs: 
Cross Listed: ART 105 - HK; ART 305 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 GJ 
4 cr 
CRN 10028",Ceramic Sculpture II,William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,16,19,-3,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - GJ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 LN 
4 cr 
CRN 10029",Ceramic Sculpture II,William Mutter,04:00 PM - 06:00 PM MW,ARTS 206,16,14,2,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - LN 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 220 LN 
4 cr 
CRN 10022","Digital Video
CLA-Breadth/Arts",Robin Koss,04:30 PM - 06:30 PM MW,ARTS 102,14,11,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 260 CE 
4 cr 
CRN 10151",Painting II,Claire Sherman,09:25 AM - 11:25 AM WF,ARTS 202,12,10,2,0,"Pre-reqs: ART 160 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
